Domain	Filename	Entity	Linkable	Split	Split Terms	Wiki IDs
Earth_Science	S0012821X12004384.ann	an increase in precipitation		No	precipitation	https://en.wikipedia.org/wiki/Precipitation,NOUN_186376_0_1
Earth_Science	S0012821X13002185.ann	1.5‰ late Eocene/early Oligocene sponge δ30Si fall		Yes	late Eocene,early Oligocene,sponge δ30Si	https://en.wikipedia.org/wiki/Eocene,;https://en.wikipedia.org/wiki/Rupelian,;,
Earth_Science	S1367912013002277.ann	Ti/Al molar ratio		1	Ti,Al,molar ratio	https://en.wikipedia.org/wiki/Titanium,SYMBOL_161297_0_1;https://en.wikipedia.org/wiki/Aluminium,SYMBOL_110375_0_1;https://en.wikipedia.org/wiki/Molar_concentration,
Earth_Science	S0012821X13007309.ann	Osi isotope stratigraphy		Yes	Osi isotope,stratigraphy	,;https://en.wikipedia.org/wiki/Stratigraphy,NOUN_328162_0_1
Earth_Science	S1750583613004192.ann	store	0			
Earth_Science	S0025322712001600.ann	climatically modulated chemical weathering		Yes	climatically,chemical weathering	https://en.wikipedia.org/wiki/Climate,ADVERB_500067_0_1;https://en.wikipedia.org/wiki/Weathering#Chemical_weathering,
Earth_Science	S0025322712001600.ann	triggering	0			
Earth_Science	S1367912013002277.ann	transportation	0			
Earth_Science	S0025322712001600.ann	the last 200 years		No	years	https://en.wikipedia.org/wiki/Year,NOUN_1729_0_1
Earth_Science	S0025322712001600.ann	a high resolution multi-proxy physical properties		Yes	high resolution,multi-proxy,physical properties	https://en.wikipedia.org/wiki/Image_resolution,;,;https://en.wikipedia.org/wiki/Physical_property,
Earth_Science	S0967064513002774.ann	Mingulay Reef Complex		0		,
Earth_Science	S0967064513002774.ann	Cold-water corals		0		https://en.wikipedia.org/wiki/Deep-water_coral,
Earth_Science	S0012821X13002185.ann	Biogenic silicon cycling		No		https://en.wikipedia.org/wiki/Silica_cycle,
Earth_Science	S0012821X13002185.ann	increasing	0			
Earth_Science	S0921818113002245.ann	regressed		0		https://en.wikipedia.org/wiki/Regression_analysis,ADJECTIVE_748360_1_1
Earth_Science	S0921818113002245.ann	minimum estimates	0			
Earth_Science	S1750583613004192.ann	geometry		0		https://en.wikipedia.org/wiki/Geometry,NOUN_70050_0_1
Earth_Science	S175058361300203X.ann	the CO2		0	CO2	https://en.wikipedia.org/wiki/Carbon_dioxide,
Earth_Science	S0967064513002774.ann	14C		0	14C	https://en.wikipedia.org/wiki/Carbon-14,
Earth_Science	S027737911400050X.ann	These tephra layers		No	tephra layers	https://en.wikipedia.org/wiki/Tephra,
Earth_Science	S0025322712001600.ann	mineralogy		No		https://en.wikipedia.org/wiki/Mineralogy,NOUN_266236_0_1
Earth_Science	S175058361300203X.ann	the CO2 mass estimations		1	CO2 mass	,
Earth_Science	S027737911400050X.ann	ice		No	ice	https://en.wikipedia.org/wiki/Ice,NOUN_8032_0_1
Earth_Science	S092181811300218X.ann	the Decontra stable carbon isotope record		1	Decontra,stable carbon isotope,record	,;,;https://en.wikipedia.org/wiki/Geologic_record,
Earth_Science	S1367912013002277.ann	Initial Ti/Al molar ratios		1	Ti,Al,molar ratios	https://en.wikipedia.org/wiki/Titanium,SYMBOL_161297_0_1;https://en.wikipedia.org/wiki/Aluminium,SYMBOL_110375_0_1;https://en.wikipedia.org/wiki/Molar_concentration,
Earth_Science	S175058361300203X.ann	3D time-lapse seismic data		1	3D time-lapse,seismic,data	https://en.wikipedia.org/wiki/Time-lapse_photography,;https://en.wikipedia.org/wiki/Seismology,ADJECTIVE_39709_0_1;https://en.wikipedia.org/wiki/Data,NOUN_47475_1_2
Earth_Science	S027737911400050X.ann	compile	0			
Earth_Science	S0012821X13007309.ann	an instigator	0			
Earth_Science	S027737911400050X.ann	climate dynamics		No		https://en.wikipedia.org/wiki/Climate_Dynamics,
Earth_Science	S0025322712001600.ann	weakened	0			
Earth_Science	S0025322712001600.ann	the floodplain		No		https://en.wikipedia.org/wiki/Floodplain,NOUN_327850_0_1
Earth_Science	S092181811300218X.ann	the Mediterranean shallow water carbonate systems		1	Mediterranean shallow water,carbonate systems	,;,
Earth_Science	S1750583613004192.ann	The fractures		0		https://en.wikipedia.org/wiki/Fracture,NOUN_227443_0_3
Earth_Science	S1750583613004192.ann	The induced transient pore pressures		0	pore pressures	https://en.wikipedia.org/wiki/Pore_water_pressure,
Earth_Science	S092181811300218X.ann	foraminiferal, bryozoan and corallinacean limestones		1	foraminiferal,bryozoan,corallinacean,limestones	https://en.wikipedia.org/wiki/Foraminifera,ADJECTIVE_1446092_0_1;https://en.wikipedia.org/wiki/Bryozoa,ADJECTIVE_93199_1_1;https://en.wikipedia.org/wiki/Corallinaceae,;https://en.wikipedia.org/wiki/Limestone,NOUN_64350_0_1
Earth_Science	S027737911400050X.ann	dispersing	0			
Earth_Science	S0967064513002774.ann	freshly collected L. pertusa		0	L. pertusa	https://en.wikipedia.org/wiki/Lophelia,
Earth_Science	S1750583613004192.ann	the plume		0		https://en.wikipedia.org/wiki/Plume_(fluid_dynamics),NOUN_90156_0_5
Earth_Science	S0012821X13002185.ann,S0025322712001600.ann	reconstruct	0			
Earth_Science	S0012821X13007309.ann	the Western Interior Seaway		No		https://en.wikipedia.org/wiki/Western_Interior_Seaway,
Earth_Science	S092181811300218X.ann	correlates	0			
Earth_Science	S1367912013002277.ann	various sedimentary environments		0	sedimentary environments	https://en.wikipedia.org/wiki/Depositional_environment,
Earth_Science	S0967064513002774.ann	decrease	0			
Earth_Science	S0012821X13002185.ann	the high southern latitudes		Yes	southern,latitudes	https://en.wikipedia.org/wiki/South,ADJECTIVE_8036_0_1;https://en.wikipedia.org/wiki/Latitude,NOUN_94628_0_2
Earth_Science	S0012821X13002185.ann	Diatom and sponge silicon isotope ratios (δ30Si)		Yes	Diatom,sponge silicon isotope,ratios,δ30Si	https://en.wikipedia.org/wiki/Diatom,NOUN_60229_0_1;,;https://en.wikipedia.org/wiki/Ratio,NOUN_69139_0_2;,
Earth_Science	S0012821X12004384.ann	dominated	No			
Earth_Science	S0012821X13002185.ann	the spin-up of a circum-Antarctic current		Yes	spin-up,circum-Antarctic current	,;,
Earth_Science	S0012821X12004384.ann	proximity	No			
Earth_Science	S092181811300218X.ann	an important locality	0			
Earth_Science	S0012821X12004384.ann	the early CIE		Yes	early,CI,E	,ADJECTIVE_2634_0_3;https://en.wikipedia.org/wiki/Isotopes_of_carbon,;,
Earth_Science	S0012821X12004384.ann	the onset and within the earliest CIE		Yes	onset,earliest,CI,E	,NOUN_51177_0_5;,ADJECTIVE_229360_0_1;https://en.wikipedia.org/wiki/Isotopes_of_carbon,;,
Earth_Science	S092181811300218X.ann	correlated	0			
Earth_Science	S1367912013002277.ann	glacial periods		0		https://en.wikipedia.org/wiki/Glacial_period,
Earth_Science	S175058361300203X.ann	34°C and 38°C		1	°C,°C	https://en.wikipedia.org/wiki/Celsius,SYMBOL_53573_0_1;https://en.wikipedia.org/wiki/Celsius,SYMBOL_53573_0_1
Earth_Science	S1750583613004192.ann	The buoyant CO2 plume		1	CO2,plume	https://en.wikipedia.org/wiki/Carbon_dioxide,;https://en.wikipedia.org/wiki/Plume_(fluid_dynamics),NOUN_90156_0_5
Earth_Science	S1367912013002277.ann	higher	0			
Earth_Science	S1750583613004192.ann	1Mt/yr		0	Mt/yr	,
Earth_Science	S027737911400050X.ann	tephrochronological marker horizons		Yes	tephrochronological,marker horizons	https://en.wikipedia.org/wiki/Tephrochronology,ADJECTIVE_4692721_0_1;https://en.wikipedia.org/wiki/Marker_horizon,
Earth_Science	S0025322712001600.ann	the period		No	period	,NOUN_43361_0_1
Earth_Science	S0025322712001600.ann	Early Holocene		0	Early Holocene	https://en.wikipedia.org/wiki/Holocene,
Earth_Science	S1750583613004192.ann	Shallow CO2 storage sites		0	CO2 storage sites	,
Earth_Science	S0012821X12004384.ann	changes	No			
Earth_Science	S027737911400050X.ann	post-glacial activity		No	post-glacial	https://en.wikipedia.org/wiki/Holocene,
Earth_Science	S1750583613004192.ann	the confining stress		0		,
Earth_Science	S0025322712001600.ann	both cores	0			
Earth_Science	S1367912013002277.ann	The Ti/Al molar ratios		1	Ti,Al,molar ratios	https://en.wikipedia.org/wiki/Titanium,SYMBOL_161297_0_1;https://en.wikipedia.org/wiki/Aluminium,SYMBOL_110375_0_1;https://en.wikipedia.org/wiki/Molar_concentration,
Earth_Science	S0921818113002245.ann	the Gyltigesjön paleomagnetic data		0		,
Earth_Science	S0012821X13002185.ann	global cooling		No		https://en.wikipedia.org/wiki/Global_cooling,NOUN_634566_0_1
Earth_Science	S027737911400050X.ann	our knowledge	0			
Earth_Science	S1367912013002277.ann	deep ocean sediments		0		,
Earth_Science	S0967064513002774.ann	the Mingulay Reef Complex		0		,
Earth_Science	S0025322712001600.ann	illite crystallinity		No		https://en.wikipedia.org/wiki/Illite_crystallinity,
Earth_Science	S0012821X13002185.ann	proto-ACC		No		
Earth_Science	S0012821X12004384.ann	organic matter δ13C		Yes	organic matter,δ13C	https://en.wikipedia.org/wiki/Organic_matter,NOUN_325766_0_1;https://en.wikipedia.org/wiki/%CE%9413C,
Earth_Science	S0921818113002245.ann	the reference curves		0		,
Earth_Science	S0025322712001600.ann	Little correlation	0			
Earth_Science	S0967064513002774.ann	calcifiers		0		https://en.wikipedia.org/wiki/Calcification,
Earth_Science	S027737911400050X.ann	the limitations of the tephrostratigraphic record		Yes	tephrostratigraphic,record	https://en.wikipedia.org/wiki/Tephrochronology,ADJECTIVE_4692721_0_1;https://en.wikipedia.org/wiki/Archaeological_record,NOUN_55573_0_1
Earth_Science	S0967064513002774.ann	from 8.2 to ~8.1	0			
Earth_Science	S027737911400050X.ann	74	0			
Earth_Science	S0012821X12004384.ann	a more diverse assemblage of generalist species		Yes	assemblage,generalist species	,NOUN_318649_0_2;https://en.wikipedia.org/wiki/Generalist_and_specialist_species,
Earth_Science	S0012821X13002185.ann	the Eocene-Oligocene Transition		No	Eocene-Oligocene Transition	https://en.wikipedia.org/wiki/Ypresian,
Earth_Science	S0967064513002774.ann	marine life		0		https://en.wikipedia.org/wiki/Marine_life,
Earth_Science	S0012821X12004384.ann	ecologic changes forced by climate		Yes	ecologic changes,climate	https://en.wikipedia.org/wiki/Environmental_change,;https://en.wikipedia.org/wiki/Climate,NOUN_55669_0_3
Earth_Science	S1750583613004192.ann	carbon dioxide		0		https://en.wikipedia.org/wiki/Carbon_dioxide,NOUN_90460_0_1
Earth_Science	S092181811300218X.ann	shallow and deep water sediments		0		,
Earth_Science	S1367912013002277.ann	deep marine environments		0	deep marine environments	,
Earth_Science	S0921818113002245.ann	Holocene age		0		https://en.wikipedia.org/wiki/Holocene,
Earth_Science	S027737911400050X.ann	the southern hemisphere		No		https://en.wikipedia.org/wiki/Southern_Hemisphere,
Earth_Science	S0012821X13002185.ann	A concomitant 1.5‰ decline	0			
Earth_Science	S0012821X13007309.ann	other LIPs		No	LIPs	https://en.wikipedia.org/wiki/Large_igneous_province,NOUN_5057850_0_1
Earth_Science	S1750583613004192.ann	separated	0			
Earth_Science	S0012821X13002185.ann	Antarctic glaciation		No		https://en.wikipedia.org/wiki/Late_Cenozoic_Ice_Age,
Earth_Science	S027737911400050X.ann	many lacustrine and peat sediment sections		Yes	lacustrine,peat sediment	https://en.wikipedia.org/wiki/Lacustrine_deposits,;https://en.wikipedia.org/wiki/Peat,
Earth_Science	S0012821X13002185.ann	the proportion	0			
Earth_Science	S1750583613004192.ann	the aquifer		0		https://en.wikipedia.org/wiki/Aquifer,NOUN_257248_0_1
Earth_Science	S0025322712001600.ann	13ka		No	ka	https://en.wikipedia.org/wiki/Year#SI_prefix_multipliers,SYMBOL_96003_0_2
Earth_Science	S0012821X13002185.ann	∼33.7Ma, Oi1		Yes	Ma,Oi1	https://en.wikipedia.org/wiki/Year#SI_prefix_multipliers,SYMBOL_3095478_0_2;,
Earth_Science	S027737911400050X.ann	a region		No	region	https://en.wikipedia.org/wiki/Region,NOUN_57902_0_1
Earth_Science	S1750583613004192.ann	waste repository		0		,
Earth_Science	S175058361300203X.ann	the migration		0		,
Earth_Science	S0012821X13007309.ann	Oceanic Anoxic Event 2 (OAE 2)		No		https://en.wikipedia.org/wiki/Cenomanian-Turonian_boundary_event,
Earth_Science	S0012821X13002185.ann	ODP site 689		Yes	ODP,site	https://en.wikipedia.org/wiki/Ocean_Drilling_Program,;https://en.wikipedia.org/wiki/Location,NOUN_62598_1_1
Earth_Science	S0012821X13002185.ann	the Eocene-Oligocene silicon cycle		Yes	Eocene-Oligocene,silicon cycle	https://en.wikipedia.org/wiki/Eocene%E2%80%93Oligocene_extinction_event,;https://en.wikipedia.org/wiki/Silica_cycle,
Earth_Science	S0012821X13002185.ann	Diatom driven carbon burial		Yes	Diatom,carbon burial	https://en.wikipedia.org/wiki/Diatom,NOUN_60229_0_1;https://en.wikipedia.org/wiki/Carbon_sequestration,
Earth_Science	S0025322712001600.ann	redness	0			
Earth_Science	S0921818113002245.ann	bioturbation		0		https://en.wikipedia.org/wiki/Bioturbation,NOUN_479460_0_1
Earth_Science	S0012821X13002185.ann	increasing diatom silicic acid utilisation		Yes	diatom,silicic acid	https://en.wikipedia.org/wiki/Diatom,NOUN_60229_0_1;https://en.wikipedia.org/wiki/Orthosilicic_acid,NOUN_106742_0_1
Earth_Science	S0025322712001600.ann	changing weathering intensities		No	weathering	https://en.wikipedia.org/wiki/Weathering,NOUN_79533_0_2
Earth_Science	S0025322712001600.ann	summer monsoon		No	summer monsoon	
Earth_Science	S1367912013002277.ann	lakes and pelagic environments		1	lakes,pelagic environments	https://en.wikipedia.org/wiki/Lake,NOUN_8035_0_1;https://en.wikipedia.org/wiki/Pelagic_zone,
Earth_Science	S092181811300218X.ann	the time resolution		0	time resolution	,
Earth_Science	S0967064513002774.ann	respiration rate		0		https://en.wikipedia.org/wiki/Respiration_rate,
Earth_Science	S092181811300218X.ann	new biostratigraphic data		1	biostratigraphic,data	https://en.wikipedia.org/wiki/Biostratigraphy,ADJECTIVE_1523263_0_1;https://en.wikipedia.org/wiki/Data,NOUN_47475_1_2
Earth_Science	S1750583613004192.ann	standard Darcy flow simulations		0	Darcy flow	https://en.wikipedia.org/wiki/Darcy%27s_law_for_multiphase_flow,
Earth_Science	S0012821X13007309.ann	the Cenomanian-Turonian boundary		No		https://en.wikipedia.org/wiki/Cenomanian-Turonian_boundary_event,
Earth_Science	S0012821X13007309.ann	driving mechanism(s)	0			
Earth_Science	S0921818113002245.ann	mixed sediment surface layer		1	mixed sediment,surface layer	,;https://en.wikipedia.org/wiki/Surface_layer,NOUN_3857740_0_2
Earth_Science	S0012821X13002185.ann	higher diatom abundance		No	diatom	https://en.wikipedia.org/wiki/Diatom,NOUN_60229_0_1
Earth_Science	S1750583613004192.ann	The model	0			
Earth_Science	S1367912013002277.ann	collected	0			
Earth_Science	S175058361300203X.ann	multiphase fluid flow modeling		0	multiphase fluid flow	https://en.wikipedia.org/wiki/Multiphase_flow,
Earth_Science	S0012821X13002185.ann	ODP site 1090		No	ODP	https://en.wikipedia.org/wiki/Ocean_Drilling_Program,
Earth_Science	S1750583613004192.ann	hydro-fracture		0		https://en.wikipedia.org/wiki/Frost_weathering,NOUN_3396138_0_1
Earth_Science	S0012821X13007309.ann	the global ocean and epeiric seas		Yes	global ocean,epeiric seas	https://en.wikipedia.org/wiki/World_Ocean,;https://en.wikipedia.org/wiki/Inland_sea_(geology),
Earth_Science	S0921818113002245.ann	bulk sediments		0		,
Earth_Science	S1750583613004192.ann	monitored	0			
Earth_Science	S0012821X13007309.ann	feedback	0			
Earth_Science	S0012821X12004384.ann	coastal areas		No	coastal areas	https://en.wikipedia.org/wiki/Coast,
Earth_Science	S027737911400050X.ann	the eruptive histories		1	eruptive,histories	,ADJECTIVE_549410_0_1;https://en.wikipedia.org/wiki/History,NOUN_37489_0_1
Earth_Science	S0012821X12004384.ann	an enhanced hydrologic cycle		No	hydrologic cycle	https://en.wikipedia.org/wiki/Water_cycle,
Earth_Science	S0025322712001600.ann	fluctuations	0			
Earth_Science	S0921818113002245.ann	relative paleointensity data sets		1	paleointensity,data sets	https://en.wikipedia.org/wiki/Paleointensity,NOUN_1363162_0_1;https://en.wikipedia.org/wiki/Data_set,NOUN_96171_0_3
Earth_Science	S0012821X13007309.ann	all sections		0	sections	https://en.wikipedia.org/wiki/Section_(archaeology),NOUN_53293_0_15
Earth_Science	S027737911400050X.ann	the inconsistencies	0			
Earth_Science	S0012821X12004384.ann	the CIE		Yes	CI,E	https://en.wikipedia.org/wiki/Isotopes_of_carbon,;,
Earth_Science	S027737911400050X.ann	the Southern and Austral Volcanic Zones		Yes	Southern,Austral Volcanic Zones	https://en.wikipedia.org/wiki/South,ADJECTIVE_158039_0_1;https://en.wikipedia.org/wiki/Andean_Volcanic_Belt#Austral_Volcanic_Zone,
Earth_Science	S027737911400050X.ann	The Southern and Austral Volcanic Zones		Yes	Southern,Austral Volcanic Zones	https://en.wikipedia.org/wiki/South,ADJECTIVE_158039_0_1;https://en.wikipedia.org/wiki/Andean_Volcanic_Belt#Austral_Volcanic_Zone,
Earth_Science	S0012821X13007309.ann	an integrated timescale model		Yes	timescale,model	https://en.wikipedia.org/wiki/Geologic_time_scale,NOUN_207843_0_1;https://en.wikipedia.org/wiki/Conceptual_model,NOUN_56719_0_4
Earth_Science	S0025322712001600.ann	early Holocene		Yes	early Holocene	https://en.wikipedia.org/wiki/Holocene,
Earth_Science	S0967064513002774.ann	the effects	0			
Earth_Science	S0025322712001600.ann	physical proxies		No		https://en.wikipedia.org/wiki/Proxy_(climate),
Earth_Science	S0012821X13002185.ann	silicic acid concentration		No	silicic acid	https://en.wikipedia.org/wiki/Orthosilicic_acid,NOUN_106742_0_1
Earth_Science	S0967064513002774.ann	physiology		0		https://en.wikipedia.org/wiki/Physiology,NOUN_75663_0_1
Earth_Science	S027737911400050X.ann	surface preservation		No	surface	https://en.wikipedia.org/wiki/Surface,NOUN_47474_0_2
Earth_Science	S0012821X12004384.ann	carbon release		Yes	carbon,release	https://en.wikipedia.org/wiki/Carbon,NOUN_28838_0_1;,NOUN_62475_0_7
Earth_Science	S0025322712001600.ann	sedimentation		No		https://en.wikipedia.org/wiki/Sedimentation,NOUN_327175_0_1
Earth_Science	S0921818113002245.ann	Mineral magnetic data		1	Mineral magnetic,data	https://en.wikipedia.org/wiki/Magnetic_mineralogy,;https://en.wikipedia.org/wiki/Data,NOUN_47475_1_2
Earth_Science	S0012821X12004384.ann	the Kilda Basin		No	Kilda	https://en.wikipedia.org/wiki/St_Kilda_Scotland,
Earth_Science	S0012821X12004384.ann	global warming		No	global warming	https://en.wikipedia.org/wiki/Global_warming,NOUN_97576_0_1
Earth_Science	S0967064513002774.ann	28.6±7.30 SE µmolO2g-1tissuedryweighth-1		No	SE µmolO2g-1tissuedryweighth-1	,
Earth_Science	S1750583613004192.ann	a capillary flow model		0		https://en.wikipedia.org/wiki/Capillary_action,
Earth_Science	S0012821X12004384.ann	fluvial runoff		Yes	fluvial,runoff	https://en.wikipedia.org/wiki/Fluvial_processes,ADJECTIVE_563811_0_1;https://en.wikipedia.org/wiki/Surface_runoff,NOUN_63520_0_1
Earth_Science	S1367912013002277.ann	source regions		0		,
Earth_Science	S1750583613004192.ann	the storage site		0		https://en.wikipedia.org/wiki/Sleipner_gas_field,
Earth_Science	S1367912013002277.ann	sediments		0		https://en.wikipedia.org/wiki/Sediment,NOUN_229933_0_1
Earth_Science	S0967064513002774.ann	these organisms		0		https://en.wikipedia.org/wiki/Organism,NOUN_8583_0_1
Earth_Science	S0025322712001600.ann	smectite/(illite+chlorite) ratios		Yes	smectite,illite,chlorite,ratios	https://en.wikipedia.org/wiki/Clay_minerals,NOUN_659867_0_1;https://en.wikipedia.org/wiki/Illite,NOUN_1318009_0_1;https://en.wikipedia.org/wiki/Chlorite,NOUN_233265_0_1;https://en.wikipedia.org/wiki/Ratio,NOUN_69139_0_2
Earth_Science	S0025322712001600.ann	anthropogenic influence		No		https://en.wikipedia.org/wiki/Human_impact_on_the_environment,
Earth_Science	S0025322712001600.ann	Hematite/goethite and magnetic susceptibility		Yes	Hematite,goethite,magnetic susceptibility	https://en.wikipedia.org/wiki/Hematite,NOUN_605493_0_1;https://en.wikipedia.org/wiki/Goethite,NOUN_1067136_0_1;https://en.wikipedia.org/wiki/Magnetic_susceptibility,NOUN_263948_0_1
Earth_Science	S175058361300203X.ann	a baseline (pre-injection) survey		0	survey	https://en.wikipedia.org/wiki/Geological_survey,
Earth_Science	S0012821X13002185.ann	ice sheet growth		Yes	ice sheet	https://en.wikipedia.org/wiki/Ice_sheet,NOUN_249203_0_1
Earth_Science	S1367912013002277.ann	decline considerably	0			
Earth_Science	S0012821X12004384.ann	modern hickory		No	hickory	https://en.wikipedia.org/wiki/Hickory,NOUN_222049_1_1
Earth_Science	S1367912013002277.ann	low	0			
Earth_Science	S0012821X13007309.ann	the GSSP		No		https://en.wikipedia.org/wiki/Global_Boundary_Stratotype_Section_and_Point,NOUN_6657967_0_1
Earth_Science	S092181811300218X.ann	stratigraphic correlation		0		https://en.wikipedia.org/wiki/Trace_fossil#Stratigraphic_correlation,
Earth_Science	S1367912013002277.ann	aerosol particles		0		https://en.wikipedia.org/wiki/Aerosol,
Earth_Science	S0921818113002245.ann	the natural remanent magnetization		0	natural remanent magnetization	https://en.wikipedia.org/wiki/Natural_remanent_magnetization,
Earth_Science	S0967064513002774.ann	an energetic imbalance		0		,
Earth_Science	S092181811300218X.ann	display	0			
Earth_Science	S1367912013002277.ann	downstream		0		,ADJECTIVE_259700_0_1
Earth_Science	S0012821X12004384.ann	Multiproxy palynological, geochemical, and sedimentologic records		Yes	Multiproxy,palynological,geochemical,sedimentologic,records	,ADJECTIVE_4804057_0_1;https://en.wikipedia.org/wiki/Palynology,ADJECTIVE_1460980_0_1;https://en.wikipedia.org/wiki/Geochemistry,ADJECTIVE_481064_0_1;https://en.wikipedia.org/wiki/Sedimentology,ADJECTIVE_4908325_0_1;,NOUN_55573_0_1
Earth_Science	S0012821X13002185.ann	the late Eocene-early Oligocene ocean silicon cycle		Yes	late Eocene,early Oligocene,ocean,silicon cycle	https://en.wikipedia.org/wiki/Eocene,;https://en.wikipedia.org/wiki/Rupelian,;https://en.wikipedia.org/wiki/Ocean,NOUN_39980_0_1;https://en.wikipedia.org/wiki/Silica_cycle,
Earth_Science	S0025322712001600.ann	climate		No	climate	https://en.wikipedia.org/wiki/Climate,NOUN_55669_0_3
Earth_Science	S1750583613004192.ann	ascended rapidly	0			
Earth_Science	S0967064513002774.ann	Lophelia pertusa		0		https://en.wikipedia.org/wiki/Lophelia,
Earth_Science	S0012821X13007309.ann	radiogenic values		No	radiogenic	,ADJECTIVE_481094_0_1
Earth_Science	S092181811300218X.ann	the correlation	0			
Earth_Science	S0967064513002774.ann	This decrease	0			
Earth_Science	S0025322712001600.ann	sediment transport		No	sediment transport	https://en.wikipedia.org/wiki/Sediment_transport,
Earth_Science	S0921818113002245.ann	changes in sediment accumulation rate		0	sediment accumulation rate	https://en.wikipedia.org/wiki/Magnetostratigraphy#Sediment_accumulation_rates,
Earth_Science	S0012821X13007309.ann	assess	0			
Earth_Science	S092181811300218X.ann	the carbonate platform		0		https://en.wikipedia.org/wiki/Carbonate_platform,
Earth_Science	S1750583613004192.ann	the plume geometry		1	plume,geometry	https://en.wikipedia.org/wiki/Plume_(fluid_dynamics),NOUN_90156_0_5;https://en.wikipedia.org/wiki/Geometry,NOUN_70050_0_1
Earth_Science	S092181811300218X.ann	interlayered	0			
Earth_Science	S092181811300218X.ann	the deep-sea sediment archives		Yes	deep-sea,sediment,archives	https://en.wikipedia.org/wiki/Deep_sea,ADJECTIVE_321933_0_1;https://en.wikipedia.org/wiki/Sediment,NOUN_229933_0_1;https://en.wikipedia.org/wiki/Archive,NOUN_71243_0_1
Earth_Science	S0012821X13002185.ann	0.6‰ late Eocene rise		No	late Eocene	https://en.wikipedia.org/wiki/Eocene,
Earth_Science	S0012821X13007309.ann	regional variability		No		
Earth_Science	S0967064513002774.ann,S1750583613004192.ann	ocean acidification		0		https://en.wikipedia.org/wiki/Ocean_acidification,
Earth_Science	S027737911400050X.ann	the Andes		No		https://en.wikipedia.org/wiki/Andes,PROPER_NOUN_236728_0_1
Earth_Science	S0012821X13002185.ann	the late Eocene		No		https://en.wikipedia.org/wiki/Eocene,
Earth_Science	S0025322712001600.ann	Core Indus-10		No	Core Indus-10	
Earth_Science	S0921818113002245.ann	between 3000 and 2000 Cal a BP		0	Cal a BP	https://en.wikipedia.org/wiki/Before_Present,
Earth_Science	S1367912013002277.ann	The closer estuary		0	estuary	https://en.wikipedia.org/wiki/Estuary,NOUN_68983_0_1
Earth_Science	S0921818113002245.ann	between 0 and 70cm		0	cm	https://en.wikipedia.org/wiki/Centimetre,SYMBOL_28854_0_1
Earth_Science	S0012821X12004384.ann	atmospheric carbon release		Yes	atmospheric carbon,release	https://en.wikipedia.org/wiki/Atmospheric_carbon_cycle,;,NOUN_62475_0_7
Earth_Science	S0025322712001600.ann	a period		No	period	
Earth_Science	S0025322712001600.ann	a clinoform		No		https://en.wikipedia.org/wiki/Clioquinol,
Earth_Science	S0012821X13007309.ann	climate change		No		https://en.wikipedia.org/wiki/Global_warming,NOUN_221053_0_2
Earth_Science	S1367912013002277.ann	Asia Dust Storm episodes		0		,
Earth_Science	S0012821X13007309.ann	Caribbean LIP		No		https://en.wikipedia.org/wiki/Caribbean_large_igneous_province,
Earth_Science	S0025322712001600.ann	10ka		No	ka	https://en.wikipedia.org/wiki/Year#SI_prefix_multipliers,SYMBOL_96003_0_2
Earth_Science	S0012821X13007309.ann	Anoxia		No		https://en.wikipedia.org/wiki/Anoxia,NOUN_192013_0_1
Earth_Science	S0012821X13007309.ann	penecontemporaneous transport		No	penecontemporaneous	,ADJECTIVE_2229857_0_1
Earth_Science	S0967064513002774.ann	uptake	0			
Earth_Science	S0967064513002774.ann	the growth	0			
Earth_Science	S1750583613004192.ann	capture	0			
Earth_Science	S0012821X12004384.ann	flooding		No	flooding	https://en.wikipedia.org/wiki/Flood,NOUN_286258_1_1
Earth_Science	S027737911400050X.ann	tephra		No		https://en.wikipedia.org/wiki/Tephra,NOUN_465996_0_1
Earth_Science	S175058361300203X.ann	co-constituents	0			
Earth_Science	S092181811300218X.ann	third-order	0			
Earth_Science	S0012821X13002185.ann	primary production		0		https://en.wikipedia.org/wiki/Primary_production,NOUN_463218_0_1
Earth_Science	S0012821X13007309.ann	the onset of OAE 2		Yes	onset,OAE 2	,NOUN_51177_0_5;https://en.wikipedia.org/wiki/Cenomanian-Turonian_boundary_event,
Earth_Science	S1750583613004192.ann	the coast		0		https://en.wikipedia.org/wiki/Coast,NOUN_838536_0_1
Earth_Science	S0012821X13007309.ann	seawater chemistry		No	seawater chemistry	
Earth_Science	S0025322712001600.ann,S092181811300218X.ann	correlate	0			
Earth_Science	S027737911400050X.ann	the post-glacial tephrostratigraphy		Yes	post-glacial,tephrostratigraphy	https://en.wikipedia.org/wiki/Holocene,;,NOUN_7251713_0_1
Earth_Science	S0012821X13007309.ann	Osi profiles		No		,
Earth_Science	S092181811300218X.ann	The 120-m-thick		No	m	https://en.wikipedia.org/wiki/Metre,SYMBOL_8697_1_1
Earth_Science	S0921818113002245.ann	terrestrial macrofossils		Yes	terrestrial,macrofossils	https://en.wikipedia.org/wiki/Terrestrial,ADJECTIVE_66359_1_3;https://en.wikipedia.org/wiki/Macrofossil,NOUN_508524_0_1
